trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
87,0,87,0,192.41653320000478,193.40240220000123,193.41949240000395,down,1,0.782937399999355,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
88,0,88,0,194.21687280000333,195.20278110000072,195.21913390000555,down,0,0.6094484999994165,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
89,0,89,0,195.84940440000355,196.8340218000012,196.8505323000063,down,0,0.5843909999966854,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
90,0,90,0,197.4651348000043,198.45016270000633,198.46727790000295,down,1,0.5956475999992108,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
91,0,91,0,199.08157680000295,200.06705320000037,200.08376890000363,down,1,0.6426761999973678,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
92,0,92,0,200.7480754999997,201.73306330000196,201.74928660000296,up,1,0.621217699997942,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
93,0,93,0,202.38078289999976,203.3825044000041,203.3825044000041,down,1,0.624521999998251,None,-5,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
94,0,94,0,204.04648550000275,205.0324252999999,205.05009390000487,up,1,0.879732099994726,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
95,0,95,0,205.94673100000364,206.93077320000157,206.946523300001,down,1,1.369131199993717,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
96,0,96,0,208.34524970000348,209.3314049000037,209.34766990000207,down,0,0.6596742999972776,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
97,0,97,0,210.0282057000004,211.013412100001,211.03101150000293,down,1,0.9434928999908152,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
98,0,98,0,211.99375470000086,212.9799994000059,212.99598140000307,down,1,0.6602364999926067,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
99,0,99,0,213.6766254000031,214.66379670000606,214.67919750000146,up,1,1.0329175999941071,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
