trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.447745699995721,15.505119399997056,15.524190099997213,up,0,2.015237999999954,None,-5,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
1,0,1,0,17.555765600001905,18.541470299998764,18.558756799997354,down,1,0.9186785999991116,None,-3,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
2,0,2,0,19.50646869999764,20.488733699996374,20.521880000000237,up,0,0.9050055999978213,None,-1,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
3,0,3,0,21.438032400001248,22.422938499999873,22.439560499995423,up,1,1.4178972000008798,None,0,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
4,0,4,0,23.87095119999867,24.85636499999964,24.873787799995625,up,1,0.7024746000024606,None,0,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
5,0,5,0,25.60303230000136,26.586504799997783,26.60286339999584,down,0,1.1066874000025564,None,0,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
6,0,6,0,27.73577139999543,28.721459499996854,28.737994600000093,up,0,0.7333272000032593,None,-1,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
7,0,7,0,29.48768469999777,30.487325499998406,30.487325499998406,down,0,0.9222737000018242,None,0,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
8,0,8,0,31.435496899997815,32.436827799996536,32.436827799996536,down,1,1.0862267000047723,None,-5,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
9,0,9,0,33.55284649999521,34.5526824999979,34.5526824999979,down,1,1.0672269000060624,None,-5,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
10,0,10,0,35.64979859999585,36.63513850000163,36.65046540000185,down,0,1.585431500003324,None,0,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
11,0,11,0,38.266017199995986,39.25180849999742,39.26877339999919,down,1,0.9680557000028784,None,2,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
12,0,12,0,40.265055399999255,41.24985480000032,41.2668479999993,down,1,1.1411012000025949,None,2,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
13,0,13,0,42.43108260000008,43.417063699998835,43.433812499999476,down,1,1.626446100002795,None,-1,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
14,0,14,0,45.08497699999862,46.06450590000168,46.09790470000007,down,1,2.110841200003051,None,4,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
15,0,15,0,48.19855709999683,49.19834170000104,49.19834170000104,down,1,0.5922282000028645,None,-5,252580,001,2023-09-08_11h36.46.529,orientationdiscriminiationtask,2023.1.3,60.19451254861631,
