trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,19.071738099999493,20.179460100000142,20.193914499999664,up,0,0.9243965999994543,None,3,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
1,0,1,0,21.141791599999124,22.128243400002248,22.144709500003955,up,1,0.9633310999997775,None,0,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
2,0,2,0,23.12573660000635,24.111471500000334,24.12788510000246,down,0,1.476212100002158,None,0,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
3,0,3,0,25.607923800002027,26.593248900004255,26.61022840000078,down,1,0.6846137000029557,None,-3,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
4,0,4,0,27.307533999999578,28.293585900006292,28.310109500002,down,1,0.8421393000026001,None,-2,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
5,0,5,0,29.174183300005097,30.15719689999969,30.173957200000586,up,0,0.6592206999994232,None,-2,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
6,0,6,0,30.856237600004533,31.841598000006343,31.85901740000554,down,0,0.7498589999959222,None,0,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
7,0,7,0,32.62302550000459,33.60849860000599,33.62532230000215,down,0,0.8227146999997785,None,0,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
8,0,8,0,34.472246299999824,35.455089300005056,35.47181990000536,down,1,0.6459670000040205,None,-1,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
9,0,9,0,36.12371180000628,37.123704600002384,37.123704600002384,down,1,0.657075299997814,None,-4,313362,001,2023-09-08_11h34.46.482,orientationdiscriminiationtask,2023.1.3,59.91385585774348,
